client_id,spend_gbp,visits,first_visit,last_visit,contact_result,comment
Client 065,"£1,206",23,05/10/2024,21/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 066,"£1,204",19,06/05/2024,18/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 067,"£1,199",20,09/03/2024,11/05/2026,Replied,She wasn't very happy with something
Client 068,"£1,190",10,22/04/2025,01/03/2026,No Response,There is no information about this person
Client 069,"£1,183",13,22/06/2025,26/03/2026,Booked/Replied,Booked on May 5
Client 070,"£1,153",13,12/04/2024,03/03/2026,Not Lost Client,Last visit April 22
Client 071,"£1,150",11,27/03/2025,27/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 072,"£1,148",11,18/01/2025,28/02/2026,No Response,There is no information about this person
Client 073,"£1,146",17,25/04/2024,28/03/2026,Booked/Replied,Booked on May 1
Client 074,"£1,125",13,13/11/2025,20/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 075,"£1,115",14,29/09/2024,29/03/2026,No Response,"No answer, sent email message"
Client 076,"£1,111",13,06/10/2025,17/03/2026,Booked/Replied,Booked on May 11
Client 077,"£1,108",9,09/03/2025,21/03/2026,Not Lost Client,Last visit April 19
Client 078,"£1,099",20,27/03/2025,27/03/2026,Replied,She was happy with last appointment
Client 079,"£1,095",14,18/03/2025,17/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 080,"£1,082",15,18/03/2025,07/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 081,"£1,071",16,26/03/2024,07/03/2026,Replied,She was happy with her last visit
Client 082,"£1,065",8,30/07/2024,28/03/2026,Replied,She was really happy with her last visit
Client 083,"£1,054",15,28/03/2025,02/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 084,"£1,046",15,25/03/2025,08/03/2026,Booked,Booked on May 3
Client 085,"£1,046",17,16/04/2024,01/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 086,"£1,039",16,17/06/2024,23/03/2026,Not Lost Client,Had an appointment booked
Client 087,"£1,033",16,02/04/2024,14/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 088,"£1,032",14,29/03/2025,30/03/2026,Not Lost Client,Last visit April 18
Client 089,"£1,014",11,29/03/2025,27/03/2026,Booked,Booked on May 8
Client 090,"£1,009",15,25/07/2025,19/03/2026,Not Lost Client,Last visit April 19
Client 091,£998,12,28/09/2024,22/03/2026,Booked,Booked on April 25
Client 092,£994,10,21/03/2025,21/03/2026,No Response,"No answer, sent email message"
Client 093,£978,15,26/03/2024,03/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 094,£964,8,13/02/2025,26/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 095,£961,11,20/04/2024,03/03/2026,Replied,She was happy with her last visit
Client 096,£961,7,14/09/2025,23/04/2026,Booked/Replied,Booked on April 23
Client 097,£950,13,09/03/2024,08/03/2026,No Response,"No answer, sent email message"
Client 098,£949,20,06/03/2024,02/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 099,£939,14,25/09/2024,30/03/2026,No Response,"No answer, sent email message"
Client 100,£935,11,19/12/2024,02/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 101,£934,13,18/03/2025,23/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 102,£934,13,07/06/2024,12/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 103,£929,13,10/12/2024,23/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 104,£925,13,15/03/2025,23/03/2026,Replied,She said there was no need to call her
Client 105,£922,14,24/03/2025,23/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 106,£919,14,07/03/2025,28/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 107,£916,10,31/12/2024,05/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 108,£912,14,10/05/2024,25/03/2026,Booked/Replied,Booked on April 24
Client 109,£904,15,25/04/2024,25/03/2026,Booked/Replied,Booked on April 23
Client 110,£903,12,09/06/2025,25/03/2026,Booked/Replied,Booked on April 25
Client 111,£890,10,18/03/2024,28/02/2026,No Response,"No answer, sent email and WhatsApp"
Client 112,£880,8,24/02/2024,21/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 113,£872,8,06/10/2025,28/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 114,£870,9,21/06/2025,19/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 115,£840,11,28/07/2024,22/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 116,£838,11,27/03/2025,22/03/2026,Not Lost Client,Last visit April 18
Client 117,£836,13,07/03/2024,28/02/2026,No Response,"No answer, sent email and WhatsApp"
Client 118,£834,8,28/03/2025,28/03/2026,No Response,"No answer, sent email and WhatsApp"
